"Id","SalePrice"
1461,123062.233268645
1462,151253.21332135
1463,181485.342911118
1464,181937.183880927
1465,194338.914403439
1466,183418.253683113
1467,167036.84247533
1468,173570.029897387
1469,181057.284228552
1470,122043.907608014
1471,200025.66012763
1472,92248.8547720375
1473,98192.2392604682
1474,151434.194251627
1475,120673.525983346
1476,354896.947507374
1477,246850.008629155
1478,303090.560342682
1479,270891.180012615
1480,459702.359339367
1481,308915.556685379
1482,206209.812834605
1483,178769.632122685
1484,172558.035060098
1485,171838.424887179
1486,199019.215947119
1487,318644.583056757
1488,243429.06022622
1489,207396.867410151
1490,207185.84364271
1491,189215.274599389
1492,98147.1004083339
1493,175051.960134242
1494,288996.588915799
1495,293207.820373384
1496,228414.508380132
1497,188172.244241559
1498,153307.730798154
1499,152363.65683926
1500,160272.393048294
1501,174317.060324536
1502,156507.595847133
1503,273854.829750899
1504,229499.403951811
1505,218568.128374623
1506,172375.157262467
1507,237544.776444902
1508,193631.811871765
1509,161363.637660918
1510,150319.411602651
1511,150744.917001057
1512,167240.224364576
1513,138904.667376696
1514,152468.097169756
1515,187281.069333256
1516,160513.755939025
1517,154965.560212727
1518,128550.31909146
1519,220325.985191278
1520,137929.070469327
1521,142739.841768708
1522,160121.143795595
1523,116274.214501245
1524,122756.097740713
1525,126974.85237578
1526,128982.575661138
1527,105724.667511156
1528,126884.511094098
1529,140336.330585883
1530,167144.621233623
1531,127982.372556578
1532,106445.940027182
1533,135959.883619679
1534,116470.596884546
1535,157530.333534733
1536,118360.497171485
1537,89071.90287858
1538,157807.871294241
1539,201423.341452026
1540,112160.270750639
1541,141828.91603984
1542,138360.48884085
1543,195117.346253226
1544,86059.4158376942
1545,102542.650869788
1546,122461.206443745
1547,132805.252109965
1548,127665.366536225
1549,111044.518361021
1550,141835.110087697
1551,120058.082565808
1552,137346.745268201
1553,135641.13669182
1554,108671.772391199
1555,174116.099244994
1556,93770.7759741789
1557,111763.132913439
1558,89084.9321124792
1559,102628.45552984
1560,150707.041110953
1561,138574.534845714
1562,126312.596953152
1563,120376.527672165
1564,160108.347611861
1565,153782.077851048
1566,219310.239216683
1567,82825.4059346413
1568,215280.023884301
1569,142217.757932248
1570,135955.929904394
1571,126079.197060881
1572,143605.123109153
1573,243050.51864453
1574,111930.062669951
1575,213402.255182075
1576,226240.811655287
1577,204087.407116345
1578,140524.942411522
1579,144506.797937131
1580,187679.538091405
1581,138002.855326502
1582,126805.783729591
1583,322515.286178506
1584,234143.497972094
1585,140427.428731813
1586,74022.2176135579
1587,104791.000702154
1588,149322.880012979
1589,104047.249707181
1590,129174.318711373
1591,103709.008353249
1592,125353.797728055
1593,118409.201168833
1594,125376.526785862
1595,126271.961392981
1596,216514.136989991
1597,164558.937653906
1598,189326.291276392
1599,177935.635228014
1600,183739.847150677
1601,71674.7610849585
1602,110375.295905932
1603,93403.4329902343
1604,279955.127008275
1605,249828.867139607
1606,166284.353772677
1607,157085.666768363
1608,215497.71241551
1609,196069.938039219
1610,163645.659523812
1611,151515.794445243
1612,179884.056543846
1613,165857.138993124
1614,122798.376892376
1615,86844.6526237679
1616,80501.0965219262
1617,87583.7327274269
1618,125996.022474671
1619,133084.90531243
1620,155536.017332342
1621,139752.060524612
1622,145940.938186454
1623,285155.555344648
1624,217462.402570706
1625,123950.221138256
